"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ARUtilities/Materials/M_DepthColoration.M_DepthColoration","24","0","8","1","0.000000","0","0"
"/AppleARKit/M_SceneDepthOcclusion.M_SceneDepthOcclusion","24","0","8","1","0.000000","0","0"
"/AppleARKit/M_OcclusionOverlay.M_OcclusionOverlay","24","0","24","3","0.000000","0","0"
"/ARUtilities/Materials/M_ScreenSpacePassthroughCamera.M_ScreenSpacePassthroughCamera","24","0","4","2","0.000000","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","0","30","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","0","26","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","0","15","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","0","51","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","0","77","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","0","635","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","0","22","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","0","8","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/UI/Materials/M_CircularMask.M_CircularMask","24","0","9","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/UI/Materials/M_ButtonRotatingUI.M_ButtonRotatingUI","24","0","9","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/UI/Materials/M_ButtonUI.M_ButtonUI","24","0","9","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/UI/Materials/M_CircularMenuSelection.M_CircularMenuSelection","24","0","9","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_Plain.M_Plane_Plain","24","0","2","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_Fallback.M_Plane_Fallback","24","0","2","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_02.M_Plane_02","24","0","2","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_01.M_Plane_01","24","0","2","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Placeable.M_Placeable","24","0","2","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Shadow.M_Shadow","24","0","2","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Arrow.M_Arrow","24","0","4","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","24","0","135","1","0.000000","0","0"
"/Game/ProductAssets/Materials/M_Plastic.M_Plastic","24","0","15","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","0","2","1","0.000000","0","0"
